iter	Passed	Remaining
0	8	8531
1	15	7648
2	21	7074
3	26	6516
4	32	6491
5	37	6275
6	43	6117
7	48	6025
8	54	5977
9	59	5893
10	65	5851
11	70	5781
12	75	5729
13	81	5771
14	87	5753
15	92	5708
16	98	5702
17	104	5687
18	110	5687
19	116	5705
20	121	5678
21	127	5675
22	134	5731
23	140	5703
24	146	5720
25	152	5707
26	157	5690
27	165	5747
28	170	5723
29	176	5719
30	182	5698
31	187	5681
32	193	5667
33	198	5647
34	203	5614
35	209	5605
36	214	5590
37	219	5559
38	224	5541
39	229	5514
40	234	5488
41	239	5470
42	245	5462
43	250	5445
44	255	5425
45	261	5429
46	266	5403
47	271	5380
48	277	5391
49	282	5372
50	289	5385
51	295	5388
52	300	5373
53	306	5361
54	311	5352
55	316	5330
56	322	5328
57	326	5310
58	332	5304
59	337	5293
60	343	5284
61	348	5266
62	353	5255
63	358	5238
64	363	5224
65	368	5209
66	374	5211
67	379	5195
68	384	5183
69	390	5184
70	395	5169
71	399	5154
72	406	5157
73	411	5150
74	416	5137
75	422	5141
76	427	5126
77	432	5115
78	438	5113
79	443	5103
80	448	5090
81	454	5090
82	459	5075
83	464	5068
84	470	5066
85	475	5055
86	480	5042
87	486	5038
88	491	5031
89	496	5022
90	503	5032
91	509	5026
92	515	5027
93	520	5018
94	526	5012
95	532	5009
96	537	5006
97	542	4995
98	548	4991
99	553	4985
100	558	4975
101	564	4971
102	570	4966
103	575	4958
104	581	4954
105	586	4943
106	591	4934
107	596	4927
108	601	4917
109	606	4906
110	612	4902
111	617	4892
112	621	4880
113	626	4871
114	632	4869
115	637	4858
116	642	4849
117	648	4850
118	654	4843
119	659	4835
120	665	4833
121	670	4825
122	675	4818
123	682	4819
124	687	4809
125	692	4803
126	697	4796
127	702	4788
128	707	4780
129	713	4773
130	718	4763
131	722	4754
132	729	4754
133	734	4748
134	740	4743
135	745	4737
136	750	4727
137	755	4722
138	761	4717
139	767	4711
140	772	4704
141	777	4697
142	782	4688
143	787	4678
144	793	4678
145	798	4670
146	804	4669
147	811	4672
148	817	4668
149	823	4665
150	829	4661
151	833	4652
152	839	4648
153	844	4639
154	849	4631
155	855	4626
156	860	4618
157	865	4610
158	870	4604
159	875	4596
160	880	4587
161	885	4580
162	891	4575
163	896	4571
164	902	4565
165	907	4561
166	912	4553
167	918	4548
168	923	4541
169	928	4534
170	934	4529
171	939	4522
172	944	4517
173	951	4515
174	957	4515
175	963	4511
176	970	4511
177	977	4512
178	984	4513
179	991	4514
180	997	4512
181	1003	4512
182	1010	4512
183	1018	4515
184	1024	4515
185	1031	4516
186	1037	4512
187	1044	4512
188	1052	4515
189	1058	4512
190	1064	4508
191	1070	4504
192	1076	4501
193	1083	4502
194	1088	4493
195	1093	4484
196	1098	4479
197	1103	4471
198	1108	4462
199	1114	4457
200	1119	4448
201	1124	4440
202	1129	4433
203	1136	4433
204	1141	4428
205	1148	4425
206	1152	4416
207	1158	4409
208	1164	4408
209	1169	4400
210	1174	4391
211	1180	4389
212	1185	4381
213	1190	4373
214	1197	4372
215	1202	4364
216	1207	4357
217	1213	4352
218	1218	4345
219	1223	4337
220	1230	4335
221	1234	4327
222	1240	4320
223	1246	4316
224	1251	4309
225	1255	4301
226	1261	4295
227	1266	4287
228	1271	4280
229	1277	4276
230	1282	4268
231	1287	4261
232	1293	4257
233	1297	4248
234	1303	4242
235	1310	4242
236	1316	4238
237	1322	4233
238	1328	4228
239	1333	4221
240	1338	4216
241	1343	4209
242	1348	4201
243	1354	4195
244	1359	4188
245	1364	4181
246	1369	4173
247	1375	4169
248	1379	4162
249	1385	4155
250	1390	4149
251	1395	4142
252	1400	4135
253	1406	4131
254	1411	4124
255	1416	4117
256	1422	4113
257	1427	4106
258	1432	4099
259	1439	4096
260	1443	4088
261	1449	4081
262	1455	4078
263	1460	4071
264	1465	4064
265	1471	4060
266	1476	4054
267	1481	4047
268	1488	4046
269	1495	4042
270	1499	4033
271	1504	4026
272	1509	4019
273	1515	4015
274	1521	4010
275	1526	4004
276	1532	3999
277	1538	3994
278	1542	3987
279	1548	3981
280	1553	3974
281	1558	3967
282	1563	3960
283	1568	3955
284	1573	3947
285	1578	3940
286	1584	3935
287	1588	3928
288	1593	3920
289	1599	3916
290	1604	3908
291	1609	3901
292	1614	3896
293	1619	3889
294	1624	3883
295	1630	3878
296	1635	3871
297	1640	3863
298	1645	3858
299	1650	3851
300	1655	3844
301	1660	3838
302	1666	3833
303	1671	3826
304	1676	3819
305	1682	3816
